,salary,transaction_amount,loan_amount,credit_score,account_balance,monthly_expense,gender,city,account_type
0,54967.14153011233,366.6022702701539,2472.682368674306,797.7486029007625,96902.69396740744,13821.152513768016,Female,Pune,Savings
1,48617.35698828816,220.89763457015135,374.12565838195826,846.1502550954938,96715.58017550067,1805.2643387312214,Male,Bangalore,Savings
2,56476.88538100693,2023.5682294082608,1143.1801916276622,826.4622901801399,88660.13938809364,4463.277053583282,Female,Pune,Current
3,65230.29856408025,2451.589879023199,4137.906434050308,768.5652565438926,81889.03599113833,4061.174976200198,Male,Pune,Savings
4,47658.46625276664,64.19149347206422,16224.506094256461,821.588540786024,98318.9849714486,2209.9152320062108,Male,Mumbai,Business
5,47658.630430508194,5504.388108897818,8487.457425913128,556.4073270019533,,7045.070590544653,Female,Pune,Business
6,,106.74097135801607,7188.091009880626,809.0577577221146,71859.14810925903,5036.301507726621,Male,Pune,Savings
7,288371.7364576454,1558.701776191244,3474.162570366474,830.6313504552676,82332.05018216523,4002.862811295813,Male,Pune,Savings
8,45305.25614065048,2469.280008122478,268463.2343586216,837.5697952498165,64743.710551062395,1236.4487149760325,Male,Bangalore,Savings
9,55425.60043585965,4095.407104909522,5058.630265746683,828.4207970549809,98328.30747838915,3626.957156659123,Female,Pune,Current
10,45365.82307187538,,911.2101011657559,826.6967682353122,87042.68421612028,,Male,Delhi,
11,45342.70246429743,3236.231745193452,9598.93976209954,846.4405746868678,80109.9200151023,4778.653421306694,Female,,Business
12,52419.62271566034,829.3654982928672,1208.5594487066292,826.932009301464,64718.720181291515,60.59567261389481,Female,Mumbai,Current
13,30867.197553422022,3372.9091386958467,4234.607774232656,818.796689176676,69399.51717622901,2714.305093229777,Female,Pune,Current
14,32750.821674869672,167.01289951632532,7080.820297197461,785.860426107354,93511.16315039239,2128.159662707035,Male,Pune,Current
15,44377.12470759027,4504.100637570432,20732.410022989166,796.5381765812346,43436.22259204406,,,Bangalore,Current
16,39871.68879665576,1586.343365757859,6803.22924655953,788.3186486296667,97344.31875695547,468.4805874768835,Female,Delhi,Business
17,53142.47332595274,3399.7952193310375,12115.305120925103,849.5800573143941,58389.7787523505,3452.176871479955,Male,Pune,Savings
18,,1204.1219438700928,49360.157419781106,837.7262345684828,29231.975796764673,4992.765031268039,Female,Delhi,Business
19,35876.962986647086,2063.2780034401776,1409.7516591598155,795.8112119264381,96100.28726637515,10792.492798450454,Female,Mumbai,Current
20,64656.487689215544,1494.7956279175392,3212.1338304690166,816.9186045294988,74392.56330893177,2237.735454223054,Male,Bangalore,Savings
21,47742.23699513464,2630.4756699738414,5018.263648364749,849.7336178807263,99177.61091698534,4243.223940811744,Male,Delhi,
22,50675.28204687924,170.30979977791233,5478.84185521464,768.3916252254297,89601.90486919977,508.27557589337715,Female,Bangalore,Savings
23,35752.51813786543,124.50006263803016,5293.648774062828,775.9016635508061,85474.88254883664,3318.9973182473777,Male,Pune,Business
24,44556.17275474817,567.6543150798328,,810.2499559418883,82619.2399776835,,Male,Mumbai,Savings
25,51109.22589709866,347.6229730303001,,846.5612485011786,45042.15640242904,10861.412524930794,Male,,Business
26,38490.06422577697,4108.071114004796,9362.516676317526,777.2681172045011,77689.8749330403,4538.685806597395,,Pune,Business
27,53756.98018345672,494.9083163611079,3701.549898293989,806.1809117704141,86872.25818485365,700.0281111015316,Female,Delhi,Current
28,43993.61310081195,7448.205618868186,17360.809938777114,773.846167898736,66819.5533532591,8201.385357304107,Male,Mumbai,Current
29,47083.06250206723,821.6462486628586,31024.38393798156,780.3346569546478,39871.08242187796,707.2110754834853,Female,Mumbai,Savings
30,43982.93387770603,402.07420795770577,17214.778108650662,768.7718966074035,99553.73504151514,1121.2546353464763,Male,Delhi,Savings
31,68522.78184508938,3118.4261951886947,15.663312480417481,813.5086049824561,19064.58610140324,8669.791562589773,Male,Delhi,Current
32,49865.02775262066,2150.032410683037,10117.046850671211,842.4399846157788,98198.61419481391,3135.3951933175736,Male,Mumbai,Business
33,39422.890710440995,1379.0902174468677,524.8914749504456,794.3911857352948,66318.19542442393,2030.44219367191,Male,Bangalore,Business
34,58225.44912103189,1620.9965982312413,2978.7682322247565,801.5584196532358,93420.61781626819,5482.354239567383,,Mumbai,Current
35,37791.563500289776,2540.2378794579326,613.6989358196631,782.2111239185801,97164.58870551987,3775.790229584374,Female,,Business
36,52088.63595004755,518.7198913734135,9258.246681287921,840.6906888868244,88408.78515502386,6952.115272025665,Female,Bangalore,Current
37,30403.298761202244,11217.262464095409,11602.427654447605,839.1558902769582,79345.94824552405,3907.4009035249346,Female,Pune,Current
38,36718.139511015695,7361.27995578019,1215.8886145681302,739.449762790927,90408.55570938098,3974.3166803874306,,Mumbai,Savings
39,51968.612358691236,2101.5061802651135,4842.467961493605,780.6897220564395,98877.78856423702,6785.296076320795,Male,Delhi,Savings
40,57384.665799954106,445.1435569377867,6092.408857707893,,81701.11024770926,3102.111808142643,Male,Pune,Current
41,51713.68281189971,2280.2955905507374,4605.334481187394,778.911109868861,53461.77294331604,1526.399424565761,Female,,Savings
42,48843.517176117595,149.87474366858658,1289.988236641173,804.5397917011443,90335.29261181643,5704.106741291955,Female,Mumbai,Current
43,46988.96304410711,62.26423304723896,5429.146641838808,796.9149894720538,95124.58379990558,2635.339523216392,Male,Bangalore,Business
44,35214.780096325725,595.9575062777931,13910.176897280739,740.0310894900173,88311.36955256069,4142.2527786844985,Male,Delhi,Business
